"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID"
"17/01","Turquie","Ozan Kabak","in","Turkey","Other","Stuttgart","Germany",11,"102","96"
"12/06","Suède","Felix Beijmo","in","Sweden","Other","Werder Bremen","Germany",3,"111","97"
"01/07","Autriche","Martin Harnik","in","Hannover 96","Germany","Werder Bremen","Germany",2,"89","97"
"27/07","Pays-Bas","Davy Klaassen","in","Everton","England","Werder Bremen","Germany",13.5,"8","97"
"31/08","Turquie","Nuri Sahin","in","Dortmund","Germany","Werder Bremen","Germany",1,"84","97"
"26/06","Pays-Bas","Wouter Weghorst","in","Netherlands","Other","Wolfsburg","Germany",11,"104","98"
"29/06","Allemagne","Daniel Ginczek","in","Stuttgart","Germany","Wolfsburg","Germany",10,"96","98"
"01/07","Autriche","Pavao Pervan","in","Austria","Other","Wolfsburg","Germany",0.8,"110","98"
"06/08","France","J.  Roussillon","in","Montpellier","France","Wolfsburg","Germany",8,"71","98"
"01/06","RD Congo","Benik Afobe","out","Bournemouth","England","Wolverhampton","England",14.5,"2","20"
"15/06","Espagne","Angeliño","out","Manchester City","England","Netherlands","Other",5,"13","104"
"16/07","Pays-Bas","Daley Blind","out","Man United","England","Netherlands","Other",16,"14","104"
"23/07","RD Congo","Chancel Mbemba","out","Newcastle United","England","Portugal","Other",9,"15","101"
"27/06","Serbie","Dusan Tadic","out","Southampton","England","Netherlands","Other",11.4,"16","104"
"17/01","Belgique","Mousa Dembélé","out","Tottenham","England","China","Other",12,"17","99"
"23/08","Belgique","Obbi Oularé","out","Watford","England","Belgium","Other",3,"18","100"
"04/07","Belgique","Theo Bongonda","out","Celta Vigo","Spain","Belgium","Other",1.6,"25","100"
"04/07","Chili","P.  Hernández","out","Celta Vigo","Spain","Argentina","Other",1.4,"25","105"
"24/07","Espagne","Joni","out","Celta Vigo","Spain","Atlético Madrid","Spain",6.7,"25","23"
"31/01","Brésil","Leo Baptistão","out","Espanyol","Spain","China","Other",6,"27","99"
"08/07","Brésil","Paulinho","out","FC Barcelona","Spain","China","Other",47.5,"28","99"
"03/07","Belgique","Zakaria Bakkali","out","Valencia CF","Spain","Belgium","Other",1,"30","100"
"11/02","Ghana","E.  Boateng","out","Levante","Spain","China","Other",11,"35","99"
"01/08","Paraguay","Gustavo Gómez","out","AC Milan","Italy","Brazil","Other",4.5,"41","103"
"01/07","Italie","Mattia Caldara","out","Atalanta","Italy","Juventus","Italy",15,"43","52"
"04/08","Croatie","Bruno Petkovic","out","Bologna","Italy","Croatia","Other",1.2,"44","107"
"14/06","Belgique","Samuel Bastien","out","Chievo Verona","Italy","Belgium","Other",3,"46","100"
"01/07","Italie","R.  Saponara","out","Empoli","Italy","Fiorentina","Italy",10.5,"47","48"
"31/01","Slovénie","Miha Zajc","out","Empoli","Italy","Turkey","Other",6.5,"47","102"
"07/06","Angola","Bruno Gaspar","out","Fiorentina","Italy","Portugal","Other",5,"48","101"
"13/07","Italie","Eder","out","Inter Milan","Italy","China","Other",5,"51","99"
"01/07","Italie","F.  Margiotta","out","Juventus","Italy","Switzerland","Other",1,"52","106"
"01/07","Colombie","Duvan Zapata","out","Napoli","Italy","Sampdoria","Italy",20,"54","56"
"14/02","Slovaquie","Marek Hamsik","out","Napoli","Italy","China","Other",15,"54","99"
"22/06","Italie","E.  Viviano","out","Sampdoria","Italy","Portugal","Other",2,"56","101"
"28/06","Brésil","Danilo Avelar","out","Torino","Italy","Brazil","Other",2,"59","103"
"31/08","Serbie","Adem Ljajic","out","Torino","Italy","Turkey","Other",6.5,"59","102"
"12/07","Suisse","Silvan Widmer","out","Udinese","Italy","Switzerland","Other",3.9,"60","106"
"03/07","Croatie","Ivan Santini","out","Caen","France","Belgium","Other",3,"64","100"
"26/06","France","Aldo Kalulu","out","Lyon","France","Switzerland","Other",2.1,"68","106"
"31/08","France","Arnaud Souquet","out","Nice","France","Belgium","Other",3,"73","100"
"24/07","Pologne","G.  Krychowiak","out","Paris S-G","France","Russia","Other",12.5,"75","109"
"06/02","France","Antoine Bernede","out","Paris S-G","France","Austria","Other",3,"75","110"
"17/06","Suisse","Saidy Janko","out","Saint-Etienne","France","Portugal","Other",3,"78","101"
"09/02","Sénégal","Cheikh M'Bengue","out","Saint-Etienne","France","China","Other",4,"78","99"
"09/02","Norvège","Ole Selnaes","out","Saint-Etienne","France","China","Other",5.5,"78","99"
"30/01","Allemagne","Sandro Wagner","out","Bayern Munich","Germany","China","Other",5,"83","99"
"11/06","Paraguay","Raúl Bobadilla","out","M'gladbach","Germany","Argentina","Other",1.8,"85","105"
"01/07","Espagne","Omar Mascarell","out","E Francfort","Germany","Real Madrid","Spain",4,"87","37"
"03/07","Bosnie-Herzégovine","Kenan Kodro","out","Mainz","Germany","Denmark","Other",1.6,"92","108"
"31/08","Kosovo","Besar Halimi","out","Mainz","Germany","Denmark","Other",0.3,"92","108"
"31/07","Allemagne","B.  Höwedes","out","Schalke 04","Germany","Russia","Other",5,"95","109"
"02/07","Belgique","Nany Dimata","out","Wolfsburg","Germany","Belgium","Other",5,"98","100"
