"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"16/11","France","D.  Cuperly","out","Tottenham","England","Auxerre","France","assistant manager"
"19/11","Argentine","M.  Taricco","out","Tottenham","England","West Ham",NA,"Free"
"22/12","Angleterre","Johnnie Jackson","out","Tottenham","England","Watford",NA,"Loan"
"01/01","Portugal","Edson","out","Tottenham","England","ADO Den Haag","Netherlands","Loan"
"04/01","Angleterre","Calum Davenport","out","Tottenham","England","Southampton",NA,"Loan"
"04/01","Angleterre","Jamie Redknapp","out","Tottenham","England","Southampton",NA,"Free"
"15/01","Etats-Unis","Kasey Keller","out","Tottenham","England","M'gladbach","Germany","Free"
"11/03","Hongrie","Márton Fülöp","out","Tottenham","England","Chesterfield",NA,"Loan"
"14/03","Angleterre","Rohan Ricketts","out","Tottenham","England","Wolves",NA,"Loan"
"21/03","Angleterre","Dean Richards","out","Tottenham","England",NA,NA,"Free"
"18/05","Angleterre","R.  Scimeca","in","Leicester",NA,"WBA","England","147.1 k€"
"31/05","Angleterre","Adam Chambers","in","S Wednesday",NA,"WBA","England","Return from loan"
"03/06","Danemark","M.  Albrechtsen","in","Copenhague","Denmark","WBA","England","3.7 M€"
"17/06","Angleterre","Darren Purse","in","Birmingham",NA,"WBA","England","1.1 M€"
"14/07","Pologne","Tomasz Kuszczak","in",NA,NA,"WBA","England",""
"28/07","Angleterre","J.  Greening","in","Middlesbrough",NA,"WBA","England","1.8 M€"
"30/07","Hongrie","Zoltán Gera","in","Ferencváros","Hungary","WBA","England","2.5 M€"
"30/07","Nigeria","Nwankwo Kanu","in",NA,NA,"WBA","England","Free"
"30/08","Pays de Galles","Robert Earnshaw","in","Cardiff","Wales","WBA","England","4.5 M€"
"31/08","Roumanie","Cosmin Contra","in","Atlético","Spain","WBA","England","Loan"
"31/08","Japon","Junichi Inamoto","in","Gamba Osaka","Japan","WBA","England","295 k€"
"09/11","Angleterre","Nigel Pearson","in","Stoke City",NA,"WBA","England","assistant manager"
"09/11","Angleterre","Bryan Robson","in",NA,NA,"WBA","England","manager"
"27/11","Angleterre","Joe Corrigan","in","Stockport",NA,"WBA","England","goalkeeping coach"
"11/01","Angleterre","Kevin Campbell","in","Everton",NA,"WBA","England","Free"
"23/01","Irlande","James O'Connor","in","Burnley",NA,"WBA","England","Return from loan"
"29/01","Angleterre","K.  Richardson","in","Man United",NA,"WBA","England","Loan"
"31/01","Angleterre","Richard Chaplow","in","Burnley",NA,"WBA","England","2.3 M€"
"23/03","Japon","Junichi Inamoto","in","Cardiff","Wales","WBA","England","Return from loan"
"08/05","Irlande","Joe Murphy","in","Walsall",NA,"WBA","England","Return from loan"
"09/05","Angleterre","Lloyd Dyer","in","Coventry",NA,"WBA","England","Return from loan"
"10/05","Sénégal","Alassane N'Dour","out","WBA","England","ASSE","France","Return from loan"
"31/05","Irlande","Mark Kinsella","out","WBA","England",NA,NA,"Free"
"25/06","Grenade","Delroy Facey","out","WBA","England","Hull City",NA,"Free"
"01/07","Angleterre","A.  Boothroyd","out","WBA","England","Leeds",NA,"membre du staff"
"01/07","Danemark","Morten Skoubo","out","WBA","England","Bröndby","Denmark",""
"01/07","Pays-Bas","Joost Volmer","out","WBA","England","Den Bosch","Netherlands","Free"
"08/08","Angleterre","James Chambers","out","WBA","England","Watford",NA,"368.9 k€"
"09/08","Angleterre","Lee Hughes","out","WBA","England",NA,NA,"Free"
"16/09","Angleterre","Sean Gregan","out","WBA","England","Leeds",NA,"737.8 k€"
"07/10","Irlande","Joe Murphy","out","WBA","England","Walsall",NA,"Loan"
"26/10","Angleterre","Gary Megson","out","WBA","England",NA,NA,"manager"
"29/10","Irlande","James O'Connor","out","WBA","England","Burnley",NA,"Loan"
"09/11","Ecosse","Scott Dobie","out","WBA","England","Millwall",NA,"737.8 k€"
"02/12","Islande","L.  Sigurdsson","out","WBA","England","Thor","Iceland","Free"
"23/12","Japon","Junichi Inamoto","out","WBA","England","Cardiff","Wales","Loan"
"01/01","Roumanie","Cosmin Contra","out","WBA","England","Politehnica","Romania","Loan"
"22/01","Suisse","Bernt Haas","out","WBA","England","Bastia","France","Free"
"09/02","Angleterre","Rob Hulse","out","WBA","England","Leeds",NA,"1.6 M€"
"09/02","Australie","Simon Miotto","out","WBA","England",NA,NA,"Free"
"22/03","Angleterre","Lloyd Dyer","out","WBA","England","Coventry",NA,"Loan"
"24/03","Angleterre","Adam Chambers","out","WBA","England","Kidderminster",NA,"Free"
"24/03","Irlande","James O'Connor","out","WBA","England","Burnley",NA,"260 k€"
"01/07","Espagne","Agus","in","Nea Salamina","Cyprus","Albacete","Spain",""
"01/07","Espagne","Alfonso Cortijo","in","Cádiz",NA,"Albacete","Spain","assistant manager"
"01/07","Espagne","Jordi Ferrón","in","Saragosse",NA,"Albacete","Spain",""
"01/07","Espagne","Francisco","in","Almería",NA,"Albacete","Spain",""
"01/07","Espagne","José Gonzalez","in","Cádiz",NA,"Albacete","Spain","manager"
"01/07","Chili","Mark González","in","Uni. Catolica","Chile","Albacete","Spain","Free"
"07/07","Belgique","R.  Gaspercic","in","Alavés",NA,"Albacete","Spain",""
"14/07","Espagne","Raúl Valbuena","in","Saragosse",NA,"Albacete","Spain","Loan"
"19/07","Espagne","Mingo","in","Real Betis",NA,"Albacete","Spain","Loan"
"20/07","Espagne","Rubén","in","M'gladbach","Germany","Albacete","Spain","Loan"
"01/08","Espagne","Momo","in","Depor",NA,"Albacete","Spain","Loan"
"18/08","Espagne","Gaspar","in","Atlético",NA,"Albacete","Spain",""
"26/08","Espagne","Rubén Castro","in","Depor",NA,"Albacete","Spain","Loan"
"26/08","Espagne","Jaime","in","Hannover 96","Germany","Albacete","Spain","Free"
"01/01","Espagne","Ángel Pindado","in","Anvers","Belgium","Albacete","Spain",""
"04/01","Uruguay","N.  Olivera","in","Defensor SC","Uruguay","Albacete","Spain","Loan"
"14/01","Espagne","Santi","in","Atlético",NA,"Albacete","Spain",""
"31/01","Espagne","Elías","in","CD Logroñés",NA,"Albacete","Spain",""
"31/01","Uruguay","Horacio Peralta","in","Cagliari","Italy","Albacete","Spain",""
"31/05","Espagne","César Ferrando","out","Albacete","Spain","Atlético",NA,"manager"
"29/06","Espagne","Carlos Aranda","out","Albacete","Spain","Sevilla FC",NA,"725 k€"
"01/07","Espagne","Manuel Almunia","out","Albacete","Spain","Celta Vigo",NA,"Return from loan"
"01/07","Espagne","Basti","out","Albacete","Spain","Xerez",NA,""
"01/07","Chili","Cristian","out","Albacete","Spain",NA,NA,""
"01/07","Brésil","Fabiano","out","Albacete","Spain","Necaxa","Mexico",""
"01/07","Espagne","J. A.  Moso","out","Albacete","Spain","Pontevedra",NA,""
"01/07","Roumanie","C.  Munteanu","out","Albacete","Spain","Murcia",NA,""
"01/07","Espagne","F.  Navarro","out","Albacete","Spain","Barcelona B",NA,"Return from loan"
"01/07","Espagne","Pedro Parada","out","Albacete","Spain",NA,NA,"assistant manager"
"01/07","Espagne","Pedro","out","Albacete","Spain","C. Murcia",NA,""
"01/07","Argentine","Carlos Roa","out","Albacete","Spain","Olimpo","Argentina","Free"
"01/07","Espagne","Simeón","out","Albacete","Spain","Xerez",NA,"Free"
"01/07","Espagne","Unai","out","Albacete","Spain","Elche",NA,"Free"
"06/07","France","L.  Delporte","out","Albacete","Spain","Osasuna",NA,"Free"
"07/07","Espagne","Pablo Ibáñez","out","Albacete","Spain","Atlético",NA,"3.5 M€"
"26/08","Espagne","Líbero Parri","out","Albacete","Spain","Racing",NA,"Loan"
"01/01","Espagne","David Sanchez","out","Albacete","Spain","Alavés",NA,""
"13/01","Nigeria","A. M.  Lawal","out","Albacete","Spain","Xerez",NA,""
"21/02","Espagne","José Gonzalez","out","Albacete","Spain",NA,NA,"manager"
"01/07","Espagne","F.  Llorente","in","Baskonia",NA,"Athletic Bilbao","Spain",""
"02/01","Espagne","Jon Moya","in","Eibar",NA,"Athletic Bilbao","Spain",""
"01/07","Espagne","A.  Larrazabal","out","Athletic Bilbao","Spain",NA,NA,"Free"
"01/07","Espagne","A.  Zubizarreta","out","Athletic Bilbao","Spain",NA,NA,"Sporting Director"
"01/03","Espagne","Endika","out","Athletic Bilbao","Spain","Terrassa",NA,"Loan"
"31/05","Espagne","César Ferrando","in","Albacete",NA,"Atlético Madrid","Spain","manager"
"15/06","Argentine","Leo Franco","in","Mallorca",NA,"Atlético Madrid","Spain",""
"01/07","Espagne","B.  Nóbrega","in","Alcoyano",NA,"Atlético Madrid","Spain",""
"01/07","Uruguay","Óscar Ortega","in",NA,NA,"Atlético Madrid","Spain","fitness coach"
"07/07","Espagne","Pablo Ibáñez","in","Albacete",NA,"Atlético Madrid","Spain","3.5 M€"
"08/07","Colombie","L. A.  Perea","in","Boca Juniors","Argentina","Atlético Madrid","Spain",""
"18/07","Espagne","Antonio López","in","Osasuna",NA,"Atlético Madrid","Spain","Free"
"19/07","Uruguay","Marcelo Sosa","in","Spartak","Russia","Atlético Madrid","Spain","Free"
"24/07","Espagne","Gonzalo Colsa","in","Mallorca",NA,"Atlético Madrid","Spain","Return from loan"
"30/07","France","Peter Luccin","in","Celta Vigo",NA,"Atlético Madrid","Spain","5 M€"
"19/08","Espagne","Salva","in","Málaga",NA,"Atlético Madrid","Spain","Loan"
"26/08","Espagne","Juan Velasco","in","Celta Vigo",NA,"Atlético Madrid","Spain","4 M€"
"30/12","Espagne","J. I.  Zahínos","in","Elche",NA,"Atlético Madrid","Spain","Return from loan"
"31/12","Danemark","J.  Grönkjaer","in","Birmingham","England","Atlético Madrid","Spain","2 M€"
"27/01","Uruguay","Richard Núñez","in","Grasshops","Switzerland","Atlético Madrid","Spain","Free"
"20/05","Espagne","Gonzalo Hurtado","out","Atlético Madrid","Spain",NA,NA,"assistant manager"
"20/05","Espagne","G.  Manzano","out","Atlético Madrid","Spain",NA,NA,"manager"
"01/07","Argentine","Germán Burgos","out","Atlético Madrid","Spain",NA,NA,""
"01/07","Uruguay","De los Santos","out","Atlético Madrid","Spain","Valencia CF",NA,"Return from loan"
"01/07","Espagne","Pepe Escalante","out","Atlético Madrid","Spain","Don Benito",NA,"membre du staff"
"01/07","Espagne","Juanma","out","Atlético Madrid","Spain","Numancia",NA,""
"01/07","Uruguay","Rubén Olivera","out","Atlético Madrid","Spain","Juventus","Italy","Return from loan"
"01/07","Brésil","Rodrigo Fabri","out","Atlético Madrid","Spain","Atlético MG","Brazil",""
"05/07","Grèce","D.  Nikolaidis","out","Atlético Madrid","Spain","AEK Athens","Greece",""
"05/08","Espagne","Javi Moreno","out","Atlético Madrid","Spain","Saragosse",NA,""
"09/08","Espagne","Toché","out","Atlético Madrid","Spain","Numancia",NA,"Loan"
"18/08","Espagne","Gaspar","out","Atlético Madrid","Spain","Albacete",NA,""
"30/08","Espagne","J.  Arizmendi","out","Atlético Madrid","Spain","Racing",NA,"Loan"
"31/08","Roumanie","Cosmin Contra","out","Atlético Madrid","Spain","WBA","England","Loan"
"31/08","Espagne","Gabi","out","Atlético Madrid","Spain","Getafe",NA,"Loan"
"22/09","Argentine","Matías Lequi","out","Atlético Madrid","Spain","Lazio","Italy",""
"01/12","Argentine","Diego Simeone","out","Atlético Madrid","Spain","Racing Club","Argentina","Free"
"01/01","Espagne","S.  Aragoneses","out","Atlético Madrid","Spain","Getafe",NA,"Loan"
"14/01","Espagne","Santi","out","Atlético Madrid","Spain","Albacete",NA,""
"16/01","Serbie","Veljko Paunovic","out","Atlético Madrid","Spain","Hannover 96","Germany","Loan"
"26/01","Pays-Bas","Kiki Musampa","out","Atlético Madrid","Spain","Man City","England","Loan"
"01/07","Espagne","Pablo Niño","in","RBC Roosendaal","Netherlands","Real Betis","Spain",""
"13/07","Italie","P.  Castellini","in","Brescia","Italy","Real Betis","Spain",""
"27/07","Brésil","Ricardo Oliveira","in","Valencia CF",NA,"Real Betis","Spain","4 M€"
"10/08","Espagne","Alexis","in","U Las Palmas",NA,"Real Betis","Spain","assistant manager"
"10/08","Espagne","Serra Ferrer","in","Baléares","Balearic Islands","Real Betis","Spain","manager"
"30/08","Brésil","Edú","in","Celta Vigo",NA,"Real Betis","Spain","5.5 M€"
"01/09","Espagne","Pep Alomar","in",NA,NA,"Real Betis","Spain","fitness coach"
"01/01","Espagne","Jaime Pérez","in","Castillo",NA,"Real Betis","Spain",""
"01/07","Islande","Joey Gudjonsson","out","Real Betis","Spain",NA,NA,"Free"
"14/07","Espagne","Ito","out","Real Betis","Spain","Espanyol",NA,"Loan"
"19/07","Espagne","Mingo","out","Real Betis","Spain","Albacete",NA,"Loan"
"09/08","Espagne","V.  Fernández","out","Real Betis","Spain","FC Porto","Portugal","manager"
"01/01","Espagne","Ismael","out","Real Betis","Spain","Elche",NA,"Loan"
"01/01","Espagne","Tote","out","Real Betis","Spain","Málaga",NA,"Loan"
"01/07","Espagne","Changui","in","Las Palmas",NA,"Depor","Spain","Return from loan"
"01/07","Espagne","Dani Mallo","in","Elche",NA,"Depor","Spain","Return from loan"
"01/01","Paraguay","Roberto Acuña","in","Al Ain","United Arab Emirates","Depor","Spain","Return from loan"
"31/01","Argentine","F.  Coloccini","in","AC Milan","Italy","Depor","Spain","4 M€"
"01/07","Brésil","Djalminha","out","Depor","Spain","América","Mexico",""
"01/07","Cameroun","Jacques Songo'o","out","Depor","Spain",NA,NA,"Free"
"01/08","Espagne","Momo","out","Depor","Spain","Albacete",NA,"Loan"
"11/08","Maroc","N.  Naybet","out","Depor","Spain","Tottenham","England","Free"
"26/08","Espagne","Rubén Castro","out","Depor","Spain","Albacete",NA,"Loan"
"31/08","Espagne","J. E.  Amavisca","out","Depor","Spain","Espanyol",NA,"Free"
"01/01","Espagne","Changui","out","Depor","Spain","Pontevedra",NA,"Loan"
"31/01","Uruguay","Walter Pandiani","out","Depor","Spain","Birmingham","England","Loan"
"25/05","Brésil","Mauro Silva","out","Depor","Spain",NA,NA,""
"10/06","Espagne","M. Á.  Lotina","in",NA,NA,"Espanyol","Spain","manager"
"01/07","Espagne","Óscar Serrano","in","Figueres",NA,"Espanyol","Spain",""
"01/07","Argentine","Martín Posse","in","Tenerife",NA,"Espanyol","Spain","Return from loan"
"06/07","Espagne","Dani","in","Saragosse",NA,"Espanyol","Spain","Free"
"14/07","Espagne","Ito","in","Real Betis",NA,"Espanyol","Spain","Loan"
"20/07","France","Didier Domi","in","Leeds","England","Espanyol","Spain","Free"
"26/07","Cameroun","Idriss Kameni","in","Le Havre","France","Espanyol","Spain","550 k€"
"06/08","Argentine","Hugo Ibarra","in","Monaco","France","Espanyol","Spain","Loan"
"30/08","Espagne","Ó.  Miñambres","in","Castilla B",NA,"Espanyol","Spain","Loan"
"31/08","Espagne","J. E.  Amavisca","in","Depor",NA,"Espanyol","Spain","Free"
"24/05","France","Grégory Vignal","out","Espanyol","Spain","Liverpool B","England","Return from loan"
"10/06","France","Eric Blondel","out","Espanyol","Spain","Al Rayyan","Qatar","fitness coach"
"10/06","France","Luis Fernandez","out","Espanyol","Spain",NA,NA,"manager"
"10/06","France","J.-L. Gasset","out","Espanyol","Spain","Istres","France","assistant manager"
"01/07","Espagne","Marc Bertrán","out","Espanyol","Spain","Córdoba",NA,"Loan"
"01/07","Pays-Bas","Kevin Bobson","out","Espanyol","Spain","Willem II","Netherlands","Free"
"01/07","Espagne","Sergio Elías","out","Espanyol","Spain","Badajoz",NA,"Sporting Director"
"01/07","Maroc","Mustapha Hadji","out","Espanyol","Spain","Al Ain","United Arab Emirates","Free"
"01/07","Turquie","Tayfun Korkut","out","Espanyol","Spain","Besiktas","Turkey",""
"01/07","Espagne","Luismi","out","Espanyol","Spain","Murcia",NA,""
"01/07","Italie","M.  Torricelli","out","Espanyol","Spain","Arezzo","Italy",""
"05/07","Roumanie","C.  Raducanu","out","Espanyol","Spain","Bielefeld","Germany",""
"14/07","Espagne","Toni Jiménez","out","Espanyol","Spain",NA,NA,""
"25/08","Côte d'Ivoire","Cyril Domoraud","out","Espanyol","Spain","Konyaspor","Turkey","Free"
"25/08","Cameroun","Pierre Womé","out","Espanyol","Spain","Brescia","Italy","Free"
"31/08","Espagne","Oscar Garcia","out","Espanyol","Spain","Lleida",NA,""
"01/01","Espagne","Luis Villarroel","out","Espanyol","Spain","Málaga",NA,"fitness coach"
"22/06","Brésil","Belletti","in","Villarreal",NA,"FC Barcelona","Spain","4 M€"
"29/06","France","Ludovic Giuly","in","Monaco","France","FC Barcelona","Spain","8.5 M€"
"30/06","Suède","Henrik Larsson","in","Celtic","Scotland","FC Barcelona","Spain","Free"
"03/07","Cameroun","Samuel Eto'o","in","Mallorca",NA,"FC Barcelona","Spain","27 M€"
"06/07","Portugal","Deco","in","FC Porto","Portugal","FC Barcelona","Spain","15 M€"
"10/07","Brésil","Sylvinho","in","Celta Vigo",NA,"FC Barcelona","Spain","1.5 M€"
"29/07","Brésil","Edmílson","in","Lyon","France","FC Barcelona","Spain","8 M€"
"24/01","Italie","D.  Albertini","in","Atalanta","Italy","FC Barcelona","Spain","Free"
"28/01","Argentine","Maxi López","in","River Plate","Argentina","FC Barcelona","Spain","6.5 M€"
"01/02","Pays-Bas","R.  Verheijen","in","Netherlands","Netherlands","FC Barcelona","Spain","fitness coach"
"07/06","Pays-Bas","Philip Cocu","out","FC Barcelona","Spain","PSV","Netherlands","Free"
"01/07","Pays-Bas","Edgar Davids","out","FC Barcelona","Spain","Juventus","Italy","Return from loan"
"01/07","Pays-Bas","P.  Kluivert","out","FC Barcelona","Spain","Newcastle","England","Free"
"01/07","Espagne","S.  Santamaría","out","FC Barcelona","Spain","Alavés",NA,""
"06/07","Portugal","R.  Quaresma","out","FC Barcelona","Spain","FC Porto","Portugal","6 M€"
"06/07","Pays-Bas","M.  Reiziger","out","FC Barcelona","Spain","Middlesbrough","England","Free"
"15/07","Bulgarie","H.  Stoichkov","out","FC Barcelona","Spain","Bulgaria","Bulgaria","membre du staff"
"22/07","Espagne","Sergio García","out","FC Barcelona","Spain","Levante",NA,"Loan"
"23/07","Espagne","Ramon Ros","out","FC Barcelona","Spain","Numancia",NA,"Loan"
"26/07","Pays-Bas","Marc Overmars","out","FC Barcelona","Spain",NA,NA,""
"10/08","Espagne","Luis Enrique","out","FC Barcelona","Spain",NA,NA,""
"16/08","Espagne","Óscar López","out","FC Barcelona","Spain","Lazio","Italy","Loan"
"20/08","Espagne","Luis García","out","FC Barcelona","Spain","Liverpool","England","9 M€"
"25/08","Turquie","Reçber Rüstü","out","FC Barcelona","Spain","Fenerbahçe","Turkey","Loan"
"30/08","Argentine","Javier Saviola","out","FC Barcelona","Spain","Monaco","France","Loan"
"21/06","Portugal","Makukula","in","Valladolid",NA,"Sevilla FC","Spain","3.5 M€"
"29/06","Espagne","Carlos Aranda","in","Albacete",NA,"Sevilla FC","Spain","725 k€"
"01/07","Espagne","Jordi López","in","Real Madrid",NA,"Sevilla FC","Spain",""
"07/07","Brésil","Renato","in","Santos","Brazil","Sevilla FC","Spain",""
"07/07","Espagne","Fernando Sales","in","Valladolid",NA,"Sevilla FC","Spain","1 M€"
"20/08","Espagne","Jesuli","in","Celta Vigo",NA,"Sevilla FC","Spain",""
"21/01","Brésil","Adriano","in","Coritiba","Brazil","Sevilla FC","Spain","2.1 M€"
"01/07","Espagne","J. J.  Bezares","out","Sevilla FC","Spain","Cádiz",NA,""
"01/07","Uruguay","F.  Magallanes","out","Sevilla FC","Spain",NA,NA,""
"01/07","Espagne","Manuel Ángel","out","Sevilla FC","Spain","Burgos",NA,""
"01/07","Espagne","A.  Marañón","out","Sevilla FC","Spain","Murcia",NA,""
"01/07","Espagne","Óscar","out","Sevilla FC","Spain","Valladolid",NA,""
"01/07","Uruguay","Inti Podestá","out","Sevilla FC","Spain",NA,NA,""
"07/07","Uruguay","Germán Hornos","out","Sevilla FC","Spain","Valladolid",NA,""
"14/07","Espagne","Paco Gallardo","out","Sevilla FC","Spain","Getafe",NA,"Loan"
"21/07","Espagne","Marcos Vales","out","Sevilla FC","Spain","Mallorca",NA,""
"26/07","Serbie","Zoran Njegus","out","Sevilla FC","Spain",NA,NA,"Free"
"01/01","Mexique","Gerardo Torrado","out","Sevilla FC","Spain","Racing",NA,"Free"
"01/07","Espagne","Jorge Bartual","in","Tenerife",NA,"Valencia CF","Spain","goalkeeping coach"
"01/07","Uruguay","De los Santos","in","Atlético",NA,"Valencia CF","Spain","Return from loan"
"01/07","Angleterre","N.  El Maestro","in","Austria Vienna","Austria","Valencia CF","Spain","youth coach"
"01/07","Espagne","Nunez Sanchez","in","Guabira","Bolivia","Valencia CF","Spain","Technical Director"
"01/07","Espagne","M.  Pallardó","in",NA,NA,"Valencia CF","Spain",""
"01/07","Italie","Claudio Ranieri","in","Chelsea","England","Valencia CF","Spain","manager"
"07/07","Italie","B.  Corradi","in","Lazio","Italy","Valencia CF","Spain","10 M€"
"07/07","Italie","Stefano Fiore","in","Lazio","Italy","Valencia CF","Spain","8 M€"
"20/07","Italie","Marco Di Vaio","in","Juventus","Italy","Valencia CF","Spain","10.5 M€"
"21/07","Italie","E.  Moretti","in","Bologna","Italy","Valencia CF","Spain",""
"27/07","Portugal","Marco Caneira","in","Bordeaux","France","Valencia CF","Spain","2 M€"
"05/10","Espagne","J. B.  Soler","in",NA,NA,"Valencia CF","Spain","chairman"
"01/01","Paraguay","Á.  Amarillla","in","Cerro P","Paraguay","Valencia CF","Spain","Return from loan"
"01/06","Espagne","Rafa Benítez","out","Valencia CF","Spain",NA,NA,"manager"
"01/07","Espagne","Pako Ayestaran","out","Valencia CF","Spain","Liverpool","England","fitness coach"
"01/07","Uruguay","F.  Canobbio","out","Valencia CF","Spain","Celta Vigo",NA,"Loan"
"01/07","Espagne","García Pitarch","out","Valencia CF","Spain","Atlético",NA,"Sporting Director"
"01/07","Espagne","Juan Sánchez","out","Valencia CF","Spain","Celta Vigo",NA,""
"01/07","Espagne","Ochotorena","out","Valencia CF","Spain","Liverpool","England","goalkeeping coach"
"01/07","Espagne","David Rangel","out","Valencia CF","Spain","Lleida",NA,"Free"
"27/07","Brésil","Ricardo Oliveira","out","Valencia CF","Spain","Real Betis",NA,"4 M€"
"01/08","France","Ludovic Butelle","out","Valencia CF","Spain","Hércules",NA,"Loan"
"09/08","Espagne","Javier Garrido","out","Valencia CF","Spain","ASSE","France","Loan"
"09/08","Espagne","Javier Garrido","out","Valencia CF","Spain","ASSE","France","Loan"
"27/08","Espagne","Jorge López","out","Valencia CF","Spain","Mallorca",NA,"Loan"
"04/01","Uruguay","De los Santos","out","Valencia CF","Spain","Mallorca",NA,"Loan"
"05/01","Argentine","M.  Pellegrino","out","Valencia CF","Spain","Liverpool","England","Free"
"25/02","Italie","Claudio Ranieri","out","Valencia CF","Spain","Parma","Italy","manager"
"01/07","Espagne","José Antonio","in","Navalcarnero",NA,"Getafe","Spain",""
"01/07","Cameroun","Daniel Kome","in","Numancia",NA,"Getafe","Spain",""
"07/07","Espagne","Fran Escribá","in","Celta Vigo",NA,"Getafe","Spain","assistant manager"
"07/07","Espagne","Sánchez Flores","in","Saragosse",NA,"Getafe","Spain","manager"
"14/07","Espagne","Paco Gallardo","in","Sevilla FC",NA,"Getafe","Spain","Loan"
"21/07","Espagne","Mariano Pernía","in","Recreativo",NA,"Getafe","Spain",""
"21/07","Espagne","Sánchez Broto","in","Murcia",NA,"Getafe","Spain",""
"21/07","Espagne","Yordi","in","Saragosse",NA,"Getafe","Spain","Free"
"24/07","Argentine","Martin Vitali","in","Leganés",NA,"Getafe","Spain",""
"30/07","Espagne","Riki","in","Real Madrid",NA,"Getafe","Spain","300 k€"
"31/07","Espagne","Raúl Albiol","in","Valence B B",NA,"Getafe","Spain","Loan"
"31/08","Espagne","Gabi","in","Atlético",NA,"Getafe","Spain","Loan"
"31/08","Espagne","Rubén Pulido","in","Rayo",NA,"Getafe","Spain","300 k€"
"01/01","Espagne","S.  Aragoneses","in","Atlético",NA,"Getafe","Spain","Loan"
"31/01","Espagne","Jaime Asen","in","Alcorcón",NA,"Getafe","Spain",""
"20/06","Espagne","Josu Uribe","out","Getafe","Spain","Elche",NA,"manager"
"01/07","Espagne","Javi Baraja","out","Getafe","Spain","Málaga B",NA,""
"01/07","Andorre","Marc Bernaus","out","Getafe","Spain","Elche",NA,""
"01/07","Espagne","Noé Calleja","out","Getafe","Spain","Algeciras",NA,""
"01/07","Espagne","Ángel Castro","out","Getafe","Spain","Leganés",NA,""
"01/07","Espagne","Luis López","out","Getafe","Spain","Terrassa",NA,""
"01/07","Espagne","Mario","out","Getafe","Spain","Algeciras",NA,""
"01/07","Espagne","Miguel Ángel","out","Getafe","Spain","Alcorcón",NA,""
"01/07","Espagne","Nacho","out","Getafe","Spain","Mostoles",NA,""
"01/07","Espagne","Rubén Reyes","out","Getafe","Spain","Real Oviedo",NA,""
"01/07","Espagne","Gari Uranga","out","Getafe","Spain","R. Sociedad",NA,""
"01/01","Espagne","Iván Amaya","out","Getafe","Spain","C. Murcia",NA,""
"01/01","Argentine","Martin Vitali","out","Getafe","Spain","Racing Club","Argentina",""
"30/06","Allemagne","Bernd Schuster","in","Shakhtar","Ukraine","Levante","Spain","manager"
"01/07","Espagne","J. A.  Culebras","in","Numancia",NA,"Levante","Spain",""
"01/07","Espagne","Manolo Ruiz","in","Xerez",NA,"Levante","Spain","assistant manager"
"02/07","Suède","Johan Mjällby","in","Celtic","Scotland","Levante","Spain","Free"
"09/07","Irlande","Ian Harte","in","Leeds","England","Levante","Spain","Free"
"14/07","Espagne","Nacho","in","Málaga B",NA,"Levante","Spain","Loan"
"15/07","Espagne","Juanma","in","Málaga B",NA,"Levante","Spain",""
"20/07","Espagne","Diego Camacho","in","Recreativo",NA,"Levante","Spain","700 k€"
"22/07","Espagne","Sergio García","in","Barça",NA,"Levante","Spain","Loan"
"16/08","Bulgarie","V.  Manchev","in","Lille","France","Levante","Spain","2.2 M€"
"19/08","Suisse","Fabio Celestini","in","Marseille","France","Levante","Spain","Loan"
"31/01","Argentine","Pablo Cavallero","in","Celta Vigo",NA,"Levante","Spain",""
"01/07","Espagne","Á.  Lekumberri","out","Levante","Spain","Langreo",NA,""
"01/07","Espagne","David Limones","out","Levante","Spain","Tenerife",NA,""
"01/07","Espagne","Manolo","out","Levante","Spain","Poli Ejido",NA,""
"01/07","Espagne","Tomás Olías","out","Levante","Spain",NA,NA,""
"01/07","Espagne","Manuel Preciado","out","Levante","Spain","Murcia",NA,"manager"
"01/07","Venezuela","E.  Rentería","out","Levante","Spain","Petare","Venezuela",""
"01/07","Espagne","Sérvulo","out","Levante","Spain","Córdoba",NA,""
"14/07","Espagne","S.  Carpintero","out","Levante","Spain","Alavés",NA,""
"26/07","Espagne","David Aganzo","out","Levante","Spain","Racing",NA,""
"14/03","Suède","Johan Mjällby","out","Levante","Spain","AIK Solna","Sweden","Free"
"30/06","Suisse","Patrick Müller","in","Lyon","France","Mallorca","Spain","Free"
"01/07","Espagne","Benito Floro","in","Villarreal",NA,"Mallorca","Spain","manager"
"01/07","Espagne","Luis García","in","Murcia",NA,"Mallorca","Spain",""
"01/07","Espagne","Tuni","in","UD Salamanque",NA,"Mallorca","Spain","Return from loan"
"18/07","Venezuela","Juan Arango","in","Puebla","Mexico","Mallorca","Spain","Free"
"21/07","Espagne","Marcos Vales","in","Sevilla FC",NA,"Mallorca","Spain",""
"12/08","Espagne","Javier Farinós","in","Inter Milan","Italy","Mallorca","Spain","Loan"
"27/08","Espagne","S.  Ballesteros","in","Villarreal",NA,"Mallorca","Spain","1 M€"
"27/08","Espagne","Jorge López","in","Valencia CF",NA,"Mallorca","Spain","Loan"
"31/08","Pays-Bas","S.  Westerveld","in","R. Sociedad",NA,"Mallorca","Spain","Loan"
