"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount"
"01/07","Allemagne","Dzenis Burnic","in","Stuttgart",NA,"Dortmund","Germany","Return from loan"
"01/07","Suisse","Marwin Hitz","in","Augsburg",NA,"Dortmund","Germany","Free"
"01/07","Allemagne","Manfred Stefes","in",NA,NA,"Dortmund","Germany","assistant manager"
"01/07","Allemagne","Marius Wolf","in","E Francfort",NA,"Dortmund","Germany","5 M€"
"11/07","Maroc","Achraf Hakimi","in","Real Madrid","Spain","Dortmund","Germany","Loan"
"06/08","Belgique","Axel Witsel","in","Tianhai","China","Dortmund","Germany","20 M€"
"28/08","Espagne","Paco Alcácer","in","Barça","Spain","Dortmund","Germany","23 M€"
"14/01","Argentine","L.  Balerdi","in","Boca Juniors","Argentina","Dortmund","Germany","15 M€"
"12/05","Autriche","Peter Stöger","out","Dortmund","Germany",NA,NA,"manager"
"22/05","Autriche","Manfred Schmid","out","Dortmund","Germany",NA,NA,"assistant manager"
"29/06","Allemagne","Gonzalo Castro","out","Dortmund","Germany","Stuttgart",NA,"5 M€"
"30/06","Allemagne","Alexander Bade","out","Dortmund","Germany",NA,NA,"assistant manager"
"30/06","Allemagne","Jörg Heinrich","out","Dortmund","Germany",NA,NA,"assistant manager"
"01/07","Belgique","Michy Batshuayi","out","Dortmund","Germany","Chelsea","England","Return from loan"
"01/07","Suisse","M.  Mariotti","out","Dortmund","Germany","Stuttgart",NA,"scout"
"01/07","Allemagne","Weidenfeller","out","Dortmund","Germany",NA,NA,"Free"
"02/07","Grèce","Papastathopoulos","out","Dortmund","Germany","Arsenal","England","16 M€"
"02/07","Allemagne","Felix Passlack","out","Dortmund","Germany","Norwich","England","Loan"
"11/07","Ukraine","A.  Yarmolenko","out","Dortmund","Germany","West Ham","England","20 M€"
"13/07","Allemagne","Erik Durm","out","Dortmund","Germany","Huddersfield","England",""
"25/07","Allemagne","A.  Schürrle","out","Dortmund","Germany","Fulham","England","Loan"
"31/08","Turquie","Nuri Sahin","out","Dortmund","Germany","Werder",NA,"1 M€"
"13/12","Pologne","Artur Platek","out","Dortmund","Germany","Gornik Zabrze","Poland","scout"
"01/01","Allemagne","Sebastian Rode","out","Dortmund","Germany","E Francfort",NA,"Loan"
"25/01","Suède","Alexander Isak","out","Dortmund","Germany","Willem II","Netherlands","Loan"
"31/01","Allemagne","Dzenis Burnic","out","Dortmund","Germany","Dresden",NA,"Loan"
"31/01","Japon","Shinji Kagawa","out","Dortmund","Germany","Besiktas","Turkey","Loan"
"31/01","Allemagne","Jeremy Toljan","out","Dortmund","Germany","Celtic","Scotland","Loan"
"11/06","Allemagne","Torben Müsel","in","Kaiserslautern",NA,"M'gladbach","Germany",""
"29/06","Suisse","Michael Lang","in","FC Basel","Switzerland","M'gladbach","Germany","2.8 M€"
"30/06","Allemagne","Florian Neuhaus","in","Düsseldorf",NA,"M'gladbach","Germany","Return from loan"
"13/07","France","Alassane Pléa","in","Nice","France","M'gladbach","Germany","25 M€"
"31/05","Angleterre","Reece Oxford","out","M'gladbach","Germany","West Ham","England","Return from loan"
"11/06","Paraguay","Raúl Bobadilla","out","M'gladbach","Germany","Argentinos","Argentina","1.8 M€"
"30/06","Italie","Vincenzo Grifo","out","M'gladbach","Germany","Hoffenheim",NA,"5.5 M€"
"13/07","Danemark","J.  Vestergaard","out","M'gladbach","Germany","Southampton","England","20 M€"
"29/01","Slovaquie","Laszlo Benes","out","M'gladbach","Germany","Holstein Kiel",NA,"Loan"
"20/06","Allemagne","Aymen Barkok","in","E Francfort",NA,"Düsseldorf","Germany","Loan"
"01/07","Allemagne","Diego Contento","in","Bordeaux","France","Düsseldorf","Germany","Free"
"01/07","Allemagne","Marvin Ducksch","in","St. Pauli",NA,"Düsseldorf","Germany",""
"01/07","Turquie","Kenan Karaman","in","Hannover 96",NA,"Düsseldorf","Germany",""
"01/07","Etats-Unis","Alfredo Morales","in","Ingolstadt",NA,"Düsseldorf","Germany",""
"01/07","Autriche","Kevin Stöger","in","Bochum",NA,"Düsseldorf","Germany",""
"01/07","Allemagne","Jean Zimmer","in","Stuttgart",NA,"Düsseldorf","Germany",""
"16/07","Allemagne","M.  Zimmermann","in","Stuttgart",NA,"Düsseldorf","Germany","Free"
"22/07","Belgique","Dodi Lukebakio","in","Watford","England","Düsseldorf","Germany","Loan"
"24/08","Pologne","Marcin Kaminski","in","Stuttgart",NA,"Düsseldorf","Germany","Loan"
"09/01","Allemagne","J.  Bühler","in","Hoffenheim B",NA,"Düsseldorf","Germany",""
"13/01","République tchèque","Jaroslav Drobny","in","Werder",NA,"Düsseldorf","Germany",""
